tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,MonthlyCharges,TotalCharges,MonthlyChargesPerTenure,TotalChargesPerTenure,Churn
1,0,2,0,0,0,29.85,29.85,29.85,29.85,0
34,2,0,2,0,1,56.95,1889.5,1.675,55.5735294117647,0
2,2,2,0,0,0,53.85,108.15,26.925,54.075,1
45,2,0,2,2,1,42.3,1840.75,0.94,40.90555555555556,0
2,0,0,0,0,0,70.7,151.65,35.35,75.825,1
8,0,0,2,0,0,99.65,820.5,12.45625,102.5625,1
22,0,2,0,0,0,89.1,1949.4,4.05,88.60909090909091,0
10,2,0,0,0,0,29.75,301.9,2.975,30.189999999999998,0
28,0,0,2,2,0,104.8,3046.05,3.742857142857143,108.78750000000001,1
62,2,2,0,0,1,56.15,3487.95,0.9056451612903226,56.25725806451613,0
13,2,0,0,0,0,49.95,587.45,3.8423076923076924,45.18846153846154,0
16,1,1,1,1,2,18.95,326.8,1.184375,20.425,0
58,0,0,2,0,1,100.35,5681.1,1.7301724137931034,97.95,0
49,0,2,2,0,0,103.7,5036.3,2.1163265306122447,102.78163265306122,1
25,2,0,2,2,0,105.5,2686.05,4.22,107.44200000000001,0
69,2,2,2,2,2,113.25,7895.15,1.641304347826087,114.42246376811593,0
52,1,1,1,1,1,20.65,1022.95,0.3971153846153846,19.672115384615385,0
71,2,0,2,0,2,106.7,7382.25,1.5028169014084507,103.97535211267606,0
10,0,0,2,2,0,55.2,528.35,5.5200000000000005,52.835,1
21,0,2,2,0,0,90.05,1862.9,4.288095238095238,88.70952380952382,0
1,0,0,2,0,0,39.65,39.65,39.65,39.65,1
12,1,1,1,1,1,19.8,202.25,1.6500000000000001,16.854166666666668,0
1,1,1,1,1,0,20.15,20.15,20.15,20.15,1
58,0,2,0,2,2,59.9,3505.1,1.032758620689655,60.432758620689654,0
49,2,2,0,2,0,59.6,2970.3,1.2163265306122448,60.61836734693878,0
30,2,2,0,0,0,55.3,1530.6,1.8433333333333333,51.019999999999996,0
47,0,2,0,0,0,99.35,4749.15,2.1138297872340424,101.04574468085106,1
1,0,2,0,0,0,30.2,30.2,30.2,30.2,1
72,2,2,2,2,2,90.25,6369.45,1.2534722222222223,88.46458333333334,0
17,0,0,0,0,0,64.7,1093.1,3.8058823529411767,64.3,1
71,2,2,2,2,2,96.35,6766.95,1.3570422535211266,95.30915492957746,0
2,0,0,2,0,0,95.5,181.65,47.75,90.825,0
27,2,2,2,2,1,66.15,1874.45,2.45,69.42407407407407,0
1,1,1,1,1,0,20.2,20.2,20.2,20.2,0
1,0,0,0,0,0,45.25,45.25,45.25,45.25,0
72,2,2,0,2,2,99.9,7251.7,1.3875000000000002,100.71805555555555,0
5,0,0,0,0,0,69.7,316.9,13.940000000000001,63.379999999999995,1
46,0,0,2,0,0,74.8,3548.3,1.626086956521739,77.13695652173914,0
34,0,2,2,0,0,106.35,3549.25,3.1279411764705882,104.38970588235294,1
11,0,0,2,0,0,97.85,1105.4,8.895454545454545,100.4909090909091,1
10,0,2,0,0,1,49.55,475.7,4.955,47.57,0
70,2,2,0,0,2,69.2,4872.35,0.9885714285714287,69.605,0
17,1,1,1,1,1,20.75,418.25,1.2205882352941178,24.602941176470587,0
63,2,2,2,2,2,79.85,4861.45,1.2674603174603174,77.16587301587302,0
13,2,2,0,2,0,76.2,981.45,5.861538461538462,75.49615384615385,0
49,0,0,0,0,0,84.5,3906.7,1.7244897959183674,79.72857142857143,0
2,0,2,0,0,0,49.25,97.0,24.625,48.5,0
2,0,0,0,0,0,80.65,144.15,40.325,72.075,1
52,2,0,0,2,2,79.75,4217.8,1.5336538461538463,81.11153846153846,0
69,2,0,2,2,2,64.15,4254.1,0.9297101449275363,61.6536231884058,0
43,0,2,0,0,0,90.25,3838.75,2.0988372093023258,89.27325581395348,0
